
Tue Jun 07 20:33:13 BRT 2022, bubble_sort, 1000, caso_real(random), 13, 2826240
Tue Jun 07 20:58:52 BRT 2022, quick_sort, 1000, caso_real(random), 1, 2826240
Tue Jun 07 21:13:35 BRT 2022, shell_sort, 1000, caso_real(random), 3, 2826240
Tue Jun 07 21:13:49 BRT 2022, shell_sort, 1000, caso_real(random), 2, 2826240
Tue Jun 07 21:41:38 BRT 2022, shell_sort, 10000, caso_real(random), 10, 3121984
Tue Jun 07 22:26:19 BRT 2022, bubble_sort, 100, caso_real(random), 2, 2826240
Tue Jun 07 22:36:44 BRT 2022, bubble_sort, 1000, caso_real(random), 32, 2826240
Tue Jun 07 22:38:18 BRT 2022, bubble_sort, 100, caso_real(random), 5, 2366976
Tue Jun 07 22:42:36 BRT 2022, bubble_sort, 10000, caso_real(random), 209, 2367024
Tue Jun 07 22:44:50 BRT 2022, bubble_sort, 100000, caso_real(random), 20049, 3143440
Tue Jun 07 22:51:32 BRT 2022, quick_sort, 100, caso_real(random), 2, 2367016
Tue Jun 07 22:52:46 BRT 2022, quick_sort, 1000, caso_real(random), 9, 2660680
Tue Jun 07 22:53:53 BRT 2022, quick_sort, 10000, caso_real(random), 1, 2367016
Tue Jun 07 22:54:12 BRT 2022, quick_sort, 10000, caso_real(random), 14, 2826240
Tue Jun 07 22:55:18 BRT 2022, quick_sort, 100000, caso_real(random), 3, 3226256
Tue Jun 07 22:55:23 BRT 2022, quick_sort, 100000, caso_real(random), 2, 3226256
Tue Jun 07 22:55:29 BRT 2022, quick_sort, 100000, caso_real(random), 3, 2766992
Tue Jun 07 22:55:41 BRT 2022, quick_sort, 100000, caso_real(random), 1, 2767040
Tue Jun 07 22:55:46 BRT 2022, quick_sort, 100000, caso_real(random), 3, 2767032
Tue Jun 07 22:58:12 BRT 2022, shell_sort, 100, caso_real(random), 4, 2366968
Tue Jun 07 22:59:28 BRT 2022, shell_sort, 100, caso_real(random), 4, 2826240
Tue Jun 07 23:00:30 BRT 2022, shell_sort, 1000, caso_real(random), 9, 2826240
Tue Jun 07 23:01:29 BRT 2022, shell_sort, 10000, caso_real(random), 15, 2660680
Tue Jun 07 23:02:44 BRT 2022, shell_sort, 100000, caso_real(random), 45, 2767032
Tue Jun 07 23:05:41 BRT 2022, shell_sort, 1000000, caso_real(random), 272, 7020544
Tue Jun 07 23:42:30 BRT 2022, bubble_sort, 1000000, caso_real(random), 2017640, 7021568
Thu Jun 09 14:54:19 BRT 2022, bubble_sort, 1000, pior, 13, 2826240
Thu Jun 09 14:54:20 BRT 2022, bubble_sort, 1000, pior, 8, 3415552
Thu Jun 09 14:54:20 BRT 2022, bubble_sort, 1000, pior, 5, 3415552
Thu Jun 09 14:54:20 BRT 2022, bubble_sort, 1000, pior, 5, 3415552
Thu Jun 09 14:54:20 BRT 2022, bubble_sort, 1000, pior, 5, 3415552
Thu Jun 09 14:57:20 BRT 2022, bubble_sort, 1000, pior, 13, 2826240
Thu Jun 09 14:57:20 BRT 2022, bubble_sort, 1000, pior, 10, 3415536
Thu Jun 09 14:57:20 BRT 2022, bubble_sort, 1000, pior, 2, 3709248
Thu Jun 09 14:57:20 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 14:57:20 BRT 2022, bubble_sort, 1000, pior, 3, 3709248
Thu Jun 09 14:58:02 BRT 2022, bubble_sort, 1000, pior, 11, 2827264
Thu Jun 09 14:58:02 BRT 2022, bubble_sort, 1000, pior, 1, 3415552
Thu Jun 09 14:58:02 BRT 2022, bubble_sort, 1000, pior, 4, 3415552
Thu Jun 09 14:58:02 BRT 2022, bubble_sort, 1000, pior, 4, 3415552
Thu Jun 09 14:58:02 BRT 2022, bubble_sort, 1000, pior, 5, 3415552
Thu Jun 09 14:58:29 BRT 2022, bubble_sort, 1000, pior, 12, 2827264
Thu Jun 09 14:58:29 BRT 2022, bubble_sort, 1000, pior, 11, 3415552
Thu Jun 09 14:58:29 BRT 2022, bubble_sort, 1000, pior, 3, 3415552
